situacao_vestibular;situacao_vestibular_ajustado
Classificado para próxima fase;Classificado
Eliminado por zero em algum escore bruto;Eliminado
Eliminado por zero em algum escore;Eliminado
ELIMINADO POR ZERO EM ALGUM ESCORE BRUTO 1ª FASE;Eliminado
AUSENTE EM ALGUMA PROVA DA ETAPA 2;Ausente
Selecionado;Selecionado
ELIMINADO ESCORE PARCIAL ABAIXO DO PONTO DE CORTE;Eliminado
Eliminado escore parcial abaixo do ponto de corte;Eliminado
Eliminado escore abaixo do ponto de corte;Eliminado
NAO SELECIONADO POR FALTA DE VAGAS;Não Classificado/Selecionado
ELIMINADO POR ZERO EM ALGUM ESCORE BRUTO 2ª FASE;Eliminado
AUSENTE EM ALGUMA PROVA DA 1ª FASE;Ausente
SELECIONADO;Selecionado
Ausente em alguma prova;Ausente
Não classificado por falta de vagas;Não Classificado/Selecionado
NAO CLASSIFICADO POR FALTA DE VAGAS NA 1ª FASE;Não Classificado/Selecionado
